Lote,Nome,Contato,Email,Leitura_Setembro,Leitura_Outubro,consumo_bruto,status
L20,Sophia Mendes Pires, (75) 99876-2021,sophia.pires@example.com,2831,3227,396,OK
P18,Elisa Nunes Pires, (78) 99876-9899,elisa.pires@example.com,3859,4255,396,OK
Y20,Heloísa Cunha Cunha, (57) 99876-8081,heloisa.cunha@example.com,2831,3227,396,OK
Y06,Helena Cardoso Pires, (56) 99876-6667,helena.pires@example.com,4233,4627,394,OK
M15,Leonardo Xavier Bezerra, (87) 98765-3536,leonardo.bezerra@example.com,4044,4438,394,OK
L06,Carolina Mendes Cunha, (60) 99876-0607,carolina.cunha@example.com,4233,4627,394,OK
K05,Eduardo Luís Pires, (37) 98765-8586,eduardo.pires@example.com,1088,1479,391,OK
P15,Alexandre César Pires, (68) 98765-9596,alexandre.pires@example.com,1088,1479,391,OK
K08,Beatriz Helena Cunha, (64) 99876-8889,beatriz.cunha@example.com,3587,3978,391,OK
X05,Miguel Ângelo Pires, (86) 98765-4546,miguel.pires@example.com,1088,1479,391,OK
X08,Luana Caroline Pires, (73) 99876-4849,luana.pires@example.com,3587,3978,391,OK
O06,Luiza Fernanda Bezerra, (42) 99876-6667,luiza.bezerra@example.com,3587,3978,391,OK
L09,Davi Lucas Sales, (70) 98765-0910,davi.sales@example.com,3014,3404,390,OK
Y09,Lucas Vinícius Pires, (72) 98765-6970,lucas.pires@example.com,3014,3404,390,OK
S01,Henrique Pires Bezerra, (77) 98765-4142,henrique.bezerra@example.com,4758,5148,390,OK
D01,Bruno Henrique Vieira, (43) 98765-4141,bruno.vieira@example.com,1399,1789,390,OK
N09,Nicolas Oliveira Bezerra, (90) 98765-4950,nicolas.bezerra@example.com,1399,1789,390,OK
C02,Sofia Carolina Azevedo, (45) 99876-2222,sofia.azevedo@example.com,1048,1437,389,OK
B12,Emanuelly Dias Campos, (93) 99876-1212,emanuelly.campos@example.com,3086,3475,389,OK
C04,Lara Beatriz Barbosa, (76) 99876-2424,lara.barbosa@example.com,1850,2239,389,OK
W02,Carolina Mendes Bezerra, (60) 99876-2223,carolina.bezerra@example.com,3543,3932,389,OK
B16,Luana Mendes Silva, (73) 99876-1616,luana.silva@example.com,1973,2362,389,OK
U04,Emanuelly Luiza Cunha, (69) 99876-8485,emanuelly.cunha@example.com,1850,2239,389,OK
R12,Letícia Nunes Bezerra, (74) 99876-3233,leticia.bezerra@example.com,1973,2362,389,OK
P10,Letícia Lima Bezerra, (99) 99876-9091,leticia.bezerra@example.com,4238,4627,389,OK
O14,Sophia Mendes Pires, (75) 99876-7475,sophia.pires@example.com,3578,3967,389,OK
P02,Lívia Beatriz Cunha, (93) 99876-8283,livia.cunha@example.com,1048,1437,389,OK
O18,Letícia Nunes Ramos, (74) 99876-7879,leticia.ramos@example.com,3086,3475,389,OK
O12,Ana Clara Sales, (49) 99876-7273,ana.sales@example.com,1973,2362,389,OK
F12,Lorena Martins Lima, (44) 99876-9292,lorena.lima@example.com,3928,4317,389,OK
P06,Luana Caroline Pires, (73) 99876-8687,luana.pires@example.com,3928,4317,389,OK
V03,Alexandre César Pires, (68) 98765-0304,alexandre.pires@example.com,1048,1437,389,OK
T15,Ricardo Miguel Cunha, (79) 98765-7576,ricardo.cunha@example.com,4238,4627,389,OK
F04,Isadora Mendes Cunha, (94) 99876-8484,isadora.cunha@example.com,2178,2567,389,OK
V02,Lara Vitória Cunha, (76) 99876-0203,lara.cunha@example.com,3086,3475,389,OK
A06,Júlia Ribeiro Dias, (31) 99876-0000,julia.dias@example.com,3578,3967,389,OK
A16,Cecília Santos Oliveira, (83) 99876-5555,cecilia.oliveira@example.com,4238,4627,389,OK
D13,Lucas Vinícius Souza, (86) 98765-5353,lucas.souza@example.com,1039,1427,388,OK
P13,Eduardo Luís Bezerra, (37) 98765-9394,eduardo.bezerra@example.com,1039,1427,388,OK
N20,Carolina Mendes Bezerra, (60) 99876-6061,carolina.bezerra@example.com,2100,2487,387,OK
T10,Gabriela Rocha Pires, (35) 99876-7071,gabriela.pires@example.com,1956,2343,387,OK
J12,Giovanna Sales Cunha, (96) 99876-7273,giovanna.cunha@example.com,1852,2239,387,OK
N10,Helena Cardoso Pires, (56) 99876-5051,helena.pires@example.com,1852,2239,387,OK
W12,Isabella Vitória Cunha, (93) 99876-3233,isabella.cunha@example.com,1852,2239,387,OK
D06,Gabriela Rocha Neta, (35) 99876-4646,gabriela.neta@example.com,1956,2343,387,OK
N18,Amanda Pires Cunha, (28) 99876-5859,amanda.cunha@example.com,1772,2158,386,OK
U08,Giovanna Sales Pires, (96) 99876-8889,giovanna.pires@example.com,3331,3717,386,OK
V12,Helena Cardoso Pires, (56) 99876-1213,helena.pires@example.com,4923,5309,386,OK
T06,Amanda Pires Cunha, (28) 99876-6667,amanda.cunha@example.com,1772,2158,386,OK
C06,Beatriz Helena Souza, (64) 99876-2626,beatriz.souza@example.com,1772,2158,386,OK
W15,João Pedro Cunha, (34) 98765-3536,joao.cunha@example.com,4171,4557,386,OK
H08,Letícia Lima Almeida, (99) 99876-2829,leticia.almeida@example.com,3331,3717,386,OK
J15,Miguel Ângelo Freitas, (86) 98765-7576,miguel.freitas@example.com,4171,4557,386,OK
D18,Sophia Mendes Lima, (75) 99876-5858,sophia.lima@example.com,1051,1437,386,OK
S08,Lara Vitória Cunha, (76) 99876-4849,lara.cunha@example.com,3811,4196,385,OK
E06,Lívia Beatriz Mendes, (93) 99876-6666,livia.mendes@example.com,4771,5156,385,OK
G07,Lucas Vinícius Martins, (86) 98765-0708,lucas.martins@example.com,3811,4196,385,OK
C01,Ricardo Jorge Almeida, (53) 98765-2121,ricardo.almeida@example.com,3131,3515,384,OK
Q06,Evelyn Santos Cunha, (58) 99876-0607,evelyn.cunha@example.com,4196,4580,384,OK
T01,Lucas Vinícius Pires, (72) 98765-6162,lucas.pires@example.com,3131,3515,384,OK
N07,João Pedro Cunha, (80) 98765-4748,joao.cunha@example.com,3131,3515,384,OK
H06,Marina Gabriela Sales, (54) 99876-2627,marina.sales@example.com,4196,4580,384,OK
O15,Samuel Elias Bezerra, (63) 98765-7576,samuel.bezerra@example.com,2225,2608,383,OK
N01,Alexandre César Pires, (68) 98765-4142,alexandre.pires@example.com,1236,1619,383,OK
V09,João Pedro Pires, (80) 98765-0910,joao.pires@example.com,2920,3303,383,OK
C13,Nicolas Oliveira Leite, (90) 98765-3333,nicolas.leite@example.com,2225,2608,383,OK
Y04,Yasmin Gabriela Bezerra, (97) 99876-6465,yasmin.bezerra@example.com,1663,2046,383,OK
I09,Bruno Henrique Melo, (43) 98765-4950,bruno.melo@example.com,2920,3303,383,OK
X19,Pietro Ferreira Cunha, (84) 98765-5960,pietro.cunha@example.com,2519,2901,382,OK
W01,Fernando Xavier Pires, (52) 98765-2122,fernando.pires@example.com,4557,4939,382,OK
J01,Lucas Vinícius Lima, (86) 98765-6162,lucas.lima@example.com,4557,4939,382,OK
S04,Letícia Lima Bezerra, (99) 99876-4445,leticia.bezerra@example.com,2519,2901,382,OK
K01,Leonardo Xavier Silva, (87) 98765-8182,leonardo.silva@example.com,4245,4627,382,OK
G04,Luiza Fernanda Bezerra, (42) 99876-0405,luiza.bezerra@example.com,2519,2901,382,OK
K19,Lucas Vinícius Cunha, (72) 98765-9900,lucas.cunha@example.com,2519,2901,382,OK
X01,Arthur Gabriel Cunha, (65) 98765-4142,arthur.cunha@example.com,4245,4627,382,OK
B20,Letícia Lima Teixeira, (99) 99876-2020,leticia.teixeira@example.com,3815,4196,381,OK
A20,Sophia Cardoso Costa, (98) 99876-1111,sophia.costa@example.com,2962,3343,381,OK
I20,Laura Júlia Pires, (83) 99876-6061,laura.pires@example.com,2962,3343,381,OK
V20,Amanda Pires Cunha, (28) 99876-2021,amanda.cunha@example.com,2962,3343,381,OK
F02,Elisa Nunes Faria, (78) 99876-8282,elisa.faria@example.com,1858,2239,381,OK
Q20,Luiza Fernanda Bezerra, (42) 99876-2021,luiza.bezerra@example.com,3815,4196,381,OK
R01,Ricardo Miguel Cunha, (79) 98765-2122,ricardo.cunha@example.com,1778,2158,380,OK
U17,Leonardo Xavier Pires, (87) 98765-9798,leonardo.pires@example.com,4776,5156,380,OK
H17,Cauã Miguel Dutra, (66) 98765-3738,caua.dutra@example.com,4776,5156,380,OK
H04,Luana Caroline Freitas, (73) 99876-2425,luana.freitas@example.com,1778,2158,380,OK
J11,Arthur Gabriel Bezerra, (65) 98765-7172,arthur.bezerra@example.com,1058,1437,379,OK
M05,Arthur Gabriel Cunha, (65) 98765-2526,arthur.cunha@example.com,2522,2901,379,OK
Q11,Bruno Henrique Bezerra, (43) 98765-1112,bruno.bezerra@example.com,2522,2901,379,OK
W11,Lucas Vinícius Bezerra, (86) 98765-3132,lucas.bezerra@example.com,1058,1437,379,OK
X20,Elisa Nunes Pires, (78) 99876-6061,elisa.pires@example.com,4101,4480,379,OK
E18,Lara Vitória Rocha, (76) 99876-7878,lara.rocha@example.com,3338,3717,379,OK
F19,Felipe Eduardo Cunha, (46) 98765-9999,felipe.cunha@example.com,2522,2901,379,OK
K20,Lorena Martins Bezerra, (44) 99876-0001,lorena.bezerra@example.com,4101,4480,379,OK
S07,Eduardo Luís Bezerra, (37) 98765-4748,eduardo.bezerra@example.com,1058,1437,379,OK
N06,Isadora Mendes Pires, (94) 99876-4647,isadora.pires@example.com,4770,5148,378,OK
X04,Lívia Beatriz Cunha, (93) 99876-4445,livia.cunha@example.com,4967,5345,378,OK
K04,Sofia Beatriz Martins, (45) 99876-8485,sofia.martins@example.com,4967,5345,378,OK
T04,Mariana Lima Pires, (38) 99876-6465,mariana.pires@example.com,4967,5345,378,OK
S12,Elisa Nunes Pires, (78) 99876-5253,elisa.pires@example.com,4865,5243,378,OK
D19,Samuel Elias Costa, (63) 98765-5959,samuel.costa@example.com,3948,4326,378,OK
R17,Miguel Ângelo Pires, (86) 98765-3738,miguel.pires@example.com,3948,4326,378,OK
O10,Isabella Vitória Cunha, (93) 99876-7071,isabella.cunha@example.com,4865,5243,378,OK
G12,Sophia Mendes Leite, (75) 99876-1213,sophia.leite@example.com,4865,5243,378,OK
H01,Miguel Ângelo Leite, (86) 98765-2122,miguel.leite@example.com,4770,5148,378,OK
X18,Beatriz Helena Bezerra, (64) 99876-5859,beatriz.bezerra@example.com,3496,3873,377,OK
W20,Letícia Nunes Bezerra, (74) 99876-4041,leticia.bezerra@example.com,4882,5259,377,OK
S02,Marina Gabriela Cunha, (54) 99876-4243,marina.cunha@example.com,4882,5259,377,OK
J20,Marina Gabriela Bezerra, (54) 99876-8081,marina.bezerra@example.com,4882,5259,377,OK
G02,Heloísa Cunha Santos, (57) 99876-0203,heloisa.santos@example.com,4882,5259,377,OK
K18,Evelyn Santos Lima, (58) 99876-9899,evelyn.lima@example.com,3496,3873,377,OK
M04,Letícia Nunes Leite, (74) 99876-2425,leticia.leite@example.com,4203,4580,377,OK
F01,Pietro Ferreira Neta, (84) 98765-8181,pietro.neta@example.com,1976,2352,376,OK
E10,Luana Caroline Pires, (73) 99876-7070,luana.pires@example.com,2403,2779,376,OK
S16,Yasmin Gabriela Bezerra, (97) 99876-5657,yasmin.bezerra@example.com,4540,4916,376,OK
P17,Pietro Ferreira Cunha, (84) 98765-9798,pietro.cunha@example.com,1894,2270,376,OK
D11,Ricardo Miguel Dutra, (79) 98765-5151,ricardo.dutra@example.com,1894,2270,376,OK
G16,Letícia Nunes Cunha, (74) 99876-1617,leticia.cunha@example.com,4540,4916,376,OK
Y19,Davi Lucas Bezerra, (70) 98765-7980,davi.bezerra@example.com,3060,3435,375,OK
L19,João Pedro Ramos, (34) 98765-1920,joao.ramos@example.com,3060,3435,375,OK
K12,Isadora Mendes Sales, (94) 99876-9293,isadora.sales@example.com,3384,3759,375,OK
X12,Letícia Lima Bezerra, (99) 99876-5253,leticia.bezerra@example.com,3384,3759,375,OK
K15,Nicolas Oliveira Ramos, (90) 98765-9596,nicolas.ramos@example.com,4450,4824,374,OK
W08,Luiza Fernanda Bezerra, (42) 99876-2829,luiza.bezerra@example.com,3695,4069,374,OK
M13,Henrique Pires Pires, (77) 98765-3334,henrique.pires@example.com,3343,3717,374,OK
J08,Emanuelly Luiza Dutra, (69) 99876-6869,emanuelly.dutra@example.com,3695,4069,374,OK
E12,Marina Gabriela Lima, (54) 99876-7272,marina.lima@example.com,1896,2270,374,OK
Q19,Enzo Emanuel Pires, (67) 98765-1920,enzo.pires@example.com,3343,3717,374,OK
G18,Giovanna Sales Rocha, (96) 99876-1819,giovanna.rocha@example.com,4580,4954,374,OK
S18,Helena Cardoso Pires, (56) 99876-5859,helena.pires@example.com,4580,4954,374,OK
X15,Eduardo Luís Bezerra, (37) 98765-5556,eduardo.bezerra@example.com,4450,4824,374,OK
B06,Nicole Vitória Vieira, (69) 99876-0606,nicole.vieira@example.com,2385,2758,373,OK
X06,Vitória Régia Bezerra, (95) 99876-4647,vitoria.bezerra@example.com,2896,3269,373,OK
C05,Alexandre César Rocha, (68) 98765-2525,alexandre.rocha@example.com,2930,3303,373,OK
E04,Giovanna Sales Teixeira, (96) 99876-6464,giovanna.teixeira@example.com,1515,1888,373,OK
R18,Vitória Régia Bezerra, (95) 99876-3839,vitoria.bezerra@example.com,2977,3350,373,OK
A14,Manuela Ferreira Castro, (48) 99876-7777,manuela.castro@example.com,2491,2864,373,OK
U16,Marina Gabriela Cunha, (54) 99876-9697,marina.cunha@example.com,2114,2487,373,OK
U06,Letícia Nunes Bezerra, (74) 99876-8687,leticia.bezerra@example.com,2930,3303,373,OK
E20,Beatriz Helena Vieira, (64) 99876-8080,beatriz.vieira@example.com,2977,3350,373,OK
Q18,Heloísa Cunha Cunha, (57) 99876-1819,heloisa.cunha@example.com,1712,2085,373,OK
D16,Ana Clara Ribeiro, (49) 99876-5656,ana.ribeiro@example.com,4327,4700,373,OK
K06,Lara Vitória Melo, (76) 99876-8687,lara.melo@example.com,2896,3269,373,OK
B02,Maria Eduarda Souza, (49) 99876-0202,maria.souza@example.com,1712,2085,373,OK
H16,Elisa Nunes Sales, (78) 99876-3637,elisa.sales@example.com,2114,2487,373,OK
O07,Ricardo Miguel Cunha, (79) 98765-6768,ricardo.cunha@example.com,2931,3303,372,OK
M14,Marina Gabriela Cunha, (54) 99876-3435,marina.cunha@example.com,1427,1799,372,OK
K11,Cauã Miguel Lima, (66) 98765-9192,caua.lima@example.com,3269,3641,372,OK
G13,Samuel Elias Azevedo, (63) 98765-1314,samuel.azevedo@example.com,4255,4627,372,OK
W13,Matheus Felipe Pires, (55) 98765-3334,matheus.pires@example.com,2931,3303,372,OK
J13,Caio Henrique Ramos, (88) 98765-7374,caio.ramos@example.com,2931,3303,372,OK
B19,Leonardo Vieira Barros, (87) 98765-1919,leonardo.barros@example.com,1980,2352,372,OK
N11,Antônio Carlos Ramos, (90) 98765-5152,antonio.ramos@example.com,4672,5044,372,OK
F18,Carolina Mendes Teixeira, (60) 99876-9898,carolina.teixeira@example.com,2459,2831,372,OK
O03,Davi Lucas Cunha, (70) 98765-6364,davi.cunha@example.com,4255,4627,372,OK
X11,Leonardo Xavier Pires, (87) 98765-5152,leonardo.pires@example.com,3269,3641,372,OK
R06,Ana Clara Bezerra, (49) 99876-2627,ana.bezerra@example.com,1980,2352,372,OK
R03,Lucas Vinícius Bezerra, (86) 98765-2324,lucas.bezerra@example.com,2492,2864,372,OK
S09,Alexandre César Pires, (68) 98765-4950,alexandre.pires@example.com,4255,4627,372,OK
Q09,Rafaela Alves Cunha, (80) 98765-0910,rafaela.cunha@example.com,2459,2831,372,OK
Q10,Mariana Lima Pires, (38) 99876-1011,mariana.pires@example.com,1427,1799,372,OK
H09,Ricardo Jorge Santos, (53) 98765-2930,ricardo.santos@example.com,4939,5310,371,OK
C16,Evelyn Santos Pereira, (58) 99876-3636,evelyn.pereira@example.com,1144,1515,371,OK
F20,Gabriela Rocha Ramos, (35) 99876-0001,gabriela.ramos@example.com,3946,4317,371,OK
C14,Helena Cardoso Pires, (56) 99876-3434,helena.pires@example.com,1991,2362,371,OK
U09,Caio Henrique Bezerra, (88) 98765-8990,caio.bezerra@example.com,4939,5310,371,OK
Q14,Carolina Mendes Bezerra, (60) 99876-1415,carolina.bezerra@example.com,1144,1515,371,OK
X13,Ricardo Jorge Cunha, (53) 98765-5354,ricardo.cunha@example.com,3825,4196,371,OK
U15,Henrique Pires Bezerra, (77) 98765-9596,henrique.bezerra@example.com,1248,1619,371,OK
K13,João Pedro Leite, (80) 98765-9394,joao.leite@example.com,3825,4196,371,OK
M01,Samuel Elias Silva, (63) 98765-2122,samuel.silva@example.com,1144,1515,371,OK
H15,Pietro Ferreira Silva, (84) 98765-3536,pietro.silva@example.com,1248,1619,371,OK
G06,Laura Júlia Vieira, (83) 99876-0607,laura.vieira@example.com,1586,1956,370,OK
K07,Alexandre César Barros, (68) 98765-8788,alexandre.barros@example.com,4584,4954,370,OK
Y01,Cauã Miguel Bezerra, (66) 98765-6162,caua.bezerra@example.com,3990,4360,370,OK
N02,Beatriz Helena Sales, (64) 99876-4243,beatriz.sales@example.com,1586,1956,370,OK
S06,Sofia Beatriz Pires, (45) 99876-4647,sofia.pires@example.com,1586,1956,370,OK
X07,Benjamin Alves Cunha, (89) 98765-4748,benjamin.cunha@example.com,4584,4954,370,OK
K16,Helena Cardoso Silva, (56) 99876-9697,helena.silva@example.com,3035,3404,369,OK
M11,Benjamin Alves Cunha, (89) 98765-3132,benjamin.cunha@example.com,1035,1404,369,OK
N03,Pietro Ferreira Bezerra, (84) 98765-4344,pietro.bezerra@example.com,1789,2158,369,OK
N14,Lorena Martins Pires, (44) 99876-5455,lorena.pires@example.com,4840,5209,369,OK
C19,Rafaela Alves Lima, (80) 98765-3939,rafaela.lima@example.com,1035,1404,369,OK
M08,Lívia Beatriz Ramos, (93) 99876-2829,livia.ramos@example.com,2198,2567,369,OK
R04,Isabella Vitória Cunha, (93) 99876-2425,isabella.cunha@example.com,3035,3404,369,OK
O04,Heloísa Cunha Sales, (57) 99876-6465,heloisa.sales@example.com,4976,5345,369,OK
Q16,Gabriela Rocha Pires, (35) 99876-1617,gabriela.pires@example.com,2198,2567,369,OK
F10,Evelyn Santos Bezerra, (58) 99876-9090,evelyn.bezerra@example.com,2118,2487,369,OK
O08,Laura Júlia Ramos, (83) 99876-6869,laura.ramos@example.com,3035,3404,369,OK
P16,Beatriz Helena Bezerra, (64) 99876-9697,beatriz.bezerra@example.com,3390,3759,369,OK
G05,Ricardo Miguel Silva, (79) 98765-0506,ricardo.silva@example.com,1789,2158,369,OK
V16,Lorena Martins Bezerra, (44) 99876-1617,lorena.bezerra@example.com,3390,3759,369,OK
I16,Heloísa Cunha Dias, (57) 99876-5657,heloisa.dias@example.com,3390,3759,369,OK
X16,Lara Vitória Cunha, (76) 99876-5657,lara.cunha@example.com,3035,3404,369,OK
E14,Letícia Lima Ferreira, (99) 99876-7474,leticia.ferreira@example.com,4840,5209,369,OK
T08,Carolina Mendes Bezerra, (60) 99876-6869,carolina.bezerra@example.com,4840,5209,369,OK
U07,Arthur Gabriel Cunha, (65) 98765-8788,arthur.cunha@example.com,1717,2085,368,OK
V18,Mariana Lima Pires, (38) 99876-1819,mariana.pires@example.com,2901,3269,368,OK
H07,Leonardo Xavier Cunha, (87) 98765-2728,leonardo.cunha@example.com,1717,2085,368,OK
Q12,Amanda Pires Cunha, (28) 99876-1213,amanda.cunha@example.com,2901,3269,368,OK
I18,Luiza Fernanda Ramos, (42) 99876-5859,luiza.ramos@example.com,2901,3269,368,OK
R14,Giovanna Sales Pires, (96) 99876-3435,giovanna.pires@example.com,3392,3759,367,OK
X14,Sofia Beatriz Pires, (45) 99876-5455,sofia.pires@example.com,2497,2864,367,OK
L15,Lucas Vinícius Bezerra, (86) 98765-1516,lucas.bezerra@example.com,3176,3543,367,OK
L14,Laura Júlia Ramos, (83) 99876-1415,laura.ramos@example.com,4638,5005,367,OK
Q07,Lucas Vinícius Pires, (72) 98765-0708,lucas.pires@example.com,3176,3543,367,OK
F05,João Pedro Azevedo, (80) 98765-8585,joao.azevedo@example.com,3350,3717,367,OK
O11,Matheus Felipe Bezerra, (55) 98765-7172,matheus.bezerra@example.com,3350,3717,367,OK
O09,Lucas Vinícius Pires, (86) 98765-6970,lucas.pires@example.com,4743,5110,367,OK
Y14,Amanda Pires Cunha, (28) 99876-7475,amanda.cunha@example.com,4638,5005,367,OK
C09,Cauã Miguel Cunha, (66) 98765-2929,caua.cunha@example.com,4743,5110,367,OK
Y15,Fernando Xavier Pires, (52) 98765-7576,fernando.pires@example.com,3176,3543,367,OK
A19,João Victor Andrade, (79) 98765-2222,joao.andrade@example.com,1730,2097,367,OK
M18,Sofia Beatriz Pires, (45) 99876-3839,sofia.pires@example.com,3350,3717,367,OK
K14,Yasmin Gabriela Bezerra, (97) 99876-9495,yasmin.bezerra@example.com,2497,2864,367,OK
W16,Sophia Mendes Pires, (75) 99876-3637,sophia.pires@example.com,4789,5156,367,OK
J16,Vitória Régia Vieira, (95) 99876-7677,vitoria.vieira@example.com,4789,5156,367,OK
T17,Lucas Vinícius Bezerra, (86) 98765-7778,lucas.bezerra@example.com,4954,5320,366,OK
O20,Giovanna Sales Pires, (96) 99876-8081,giovanna.pires@example.com,4954,5320,366,OK
O19,Arthur Gabriel Cunha, (65) 98765-7980,arthur.cunha@example.com,3435,3801,366,OK
P12,Sofia Beatriz Pires, (45) 99876-9293,sofia.pires@example.com,2343,2709,366,OK
J07,Samuel Elias Melo, (63) 98765-6768,samuel.melo@example.com,2498,2864,366,OK
W07,Enzo Emanuel Pires, (67) 98765-2728,enzo.pires@example.com,2498,2864,366,OK
U12,Vitória Régia Bezerra, (95) 99876-9293,vitoria.bezerra@example.com,2343,2709,366,OK
E17,Eduardo Luís Dutra, (37) 98765-7777,eduardo.dutra@example.com,4954,5320,366,OK
H12,Lara Vitória Ramos, (76) 99876-3233,lara.ramos@example.com,2343,2709,366,OK
W09,Ricardo Miguel Cunha, (79) 98765-2930,ricardo.cunha@example.com,3435,3801,366,OK
J09,André Luís Pires, (82) 98765-6970,andre.pires@example.com,3435,3801,366,OK
M07,Caio Henrique Bezerra, (88) 98765-2728,caio.bezerra@example.com,4306,4672,366,OK
O17,André Luís Pires, (82) 98765-7778,andre.pires@example.com,2499,2864,365,OK
G09,Matheus Felipe Bezerra, (55) 98765-0910,matheus.bezerra@example.com,2393,2758,365,OK
P03,Miguel Ângelo Pires, (86) 98765-8384,miguel.pires@example.com,4018,4383,365,OK
E09,Benjamin Alves Melo, (89) 98765-6969,benjamin.melo@example.com,2499,2864,365,OK
G10,Ana Clara Barros, (49) 99876-1011,ana.barros@example.com,1874,2239,365,OK
S10,Beatriz Helena Bezerra, (64) 99876-5051,beatriz.bezerra@example.com,1874,2239,365,OK
V13,Antônio Carlos Bezerra, (90) 98765-1314,antonio.bezerra@example.com,4018,4383,365,OK
I13,Felipe Eduardo Pires, (46) 98765-5354,felipe.pires@example.com,4018,4383,365,OK
G19,Caio Henrique Almeida, (88) 98765-1920,caio.almeida@example.com,3070,3435,365,OK
L18,Ana Clara Leite, (49) 99876-1819,ana.leite@example.com,2722,3086,364,OK
V19,Bruno Henrique Bezerra, (43) 98765-1920,bruno.bezerra@example.com,1040,1404,364,OK
I19,Ricardo Miguel Cunha, (79) 98765-5960,ricardo.cunha@example.com,1040,1404,364,OK
T13,Enzo Emanuel Pires, (67) 98765-7374,enzo.pires@example.com,3509,3873,364,OK
F06,Yasmin Gabriela Pires, (97) 99876-8686,yasmin.pires@example.com,4575,4939,364,OK
S17,Nicolas Oliveira Cunha, (90) 98765-5758,nicolas.cunha@example.com,2158,2522,364,OK
D15,Matheus Felipe Vieira, (55) 98765-5555,matheus.vieira@example.com,3509,3873,364,OK
S19,Antônio Carlos Bezerra, (90) 98765-5960,antonio.bezerra@example.com,1040,1404,364,OK
T18,Isabella Vitória Cunha, (93) 99876-7879,isabella.cunha@example.com,2722,3086,364,OK
G11,João Pedro Dias, (34) 98765-1112,joao.dias@example.com,2158,2522,364,OK
